令和２年,人口動態統計,,
上巻　総覧　第３．３表－１　都道府県（特別区－指定都市再掲）別にみた人口動態総覧

　　１）　都道府県別の表章は出生は子の住所、死亡は死亡者の住所、死産は母の住所、婚姻は夫の住所、離婚は別居する前の住所による。
　　２）　都道府県については総務省統計局「令和２年国勢調査の日本人人口（按分済み）」、特別区－指定都市については「令和２年国勢調査」に基づいて厚生労働省で推計した日本人人口である。

,人口,出生数,死亡数,（再掲）,,自　然,死産数,,,周産期死亡数,,,婚姻件数,離婚件数
,,,,乳児死亡数,新生児,増減数,総数,自然死産,人工死産,総数,22週以後,早期新生児,,
,,,,,死亡数,,,,,,の死産数,死亡数,,
61 名古屋市,…,17538,23120,23,13,-5582,304,145,159,49,36,13,12431,3897
62 京都市,…,9251,14880,15,4,-5629,165,76,89,35,31,4,6270,2182
63 大阪市,…,20152,29598,44,19,-9446,442,182,260,44,31,13,16262,5219
64 堺市,…,5827,8722,9,3,-2895,114,50,64,17,15,2,3568,1310
65 神戸市,…,9765,15870,19,5,-6105,214,102,112,39,36,3,6251,2407
66 岡山市,…,5627,6786,5,2,-1159,119,54,65,12,10,2,3413,1154
67 広島市,…,9179,10296,14,7,-1117,183,92,91,28,23,5,5581,1894
68 北九州市,…,6459,11256,13,6,-4797,131,63,68,20,14,6,4069,1675
69 福岡市,…,13079,12588,25,13,491,284,125,159,32,25,7,8678,2760
70 熊本市,…,6101,7090,16,7,-989,114,46,68,14,10,4,3386,1241
